onset	duration	trial_type	trial_number	event_code	response_time	response	result
-21.0215114998	n/a	n/a	n/a	1	n/a	n/a	n/a
n/a	n/a	n/a	n/a	11	n/a	n/a	BREATHING_LOAD_RUN=NO
-21.0215114998	n/a	n/a	n/a	1	n/a	n/a	n/a
8.0	0	n/a	n/a	2	n/a	n/a	n/a
16.0161973001	n/a	3	0.0	3	n/a	n/a	n/a
16.0161973001	9	3	0.0	4	n/a	n/a	9
25.0320838001	2.5	3	0.0	5	n/a	n/a	2.5
25.4489004002	n/a	4_3_0	0.0	8	9.432703100144863	-1.0	20
25.7488448001	n/a	4_3_1	0.0	8	9.732647500000894	1.0	0
26.0485602999	n/a	4_3_2	0.0	8	10.032362999860196	1.0	-20
27.5479965	 n/a	3	0.0	6	n/a	n/a	n/a
27.5500298999	0.75	3	0.0	13	0.75	n/a	20
28.3031599	0.75	3	0.0	13	0.75	n/a	-20
29.0560670001	0.75	3	0.0	13	0.75	n/a	-20
29.8234966001	1	3	0.0	9	n/a	n/a	-20
29.8234966001	1	3	0.0	10	n/a	n/a	Aversive Pruning
30.8299031002	n/a	3	0.0	7	n/a	n/a	15.75
31.7644753	n/a	4	1.0	3	n/a	n/a	n/a
31.7644753	9	4	1.0	4	n/a	n/a	9
40.7796136001	2.5	4	1.0	5	n/a	n/a	2.5
41.8295274	n/a	2_4_0	1.0	8	10.06505209999159	1.0	-20
42.1964138001	n/a	2_4_1	1.0	8	10.431938500143588	1.0	-40
42.7465826003	n/a	2_4_2	1.0	8	10.982107300311327	-1.0	-20
43.1471700002	n/a	2_4_3	1.0	8	11.382694700267164	1.0	-40
43.296079	 n/a	4	1.0	6	n/a	n/a	n/a
43.2978655002	0.75	4	1.0	13	0.75	n/a	-20
44.0521884002	0.75	4	1.0	13	0.75	n/a	-20
44.8048884002	0.75	4	1.0	13	0.75	n/a	20
45.5586782	0.75	4	1.0	13	0.75	n/a	-20
46.3264287002	1	4	1.0	9	n/a	n/a	-40
46.3264287002	1	4	1.0	10	n/a	n/a	OLL Error
47.3316553002	n/a	4	1.0	7	n/a	n/a	16.5
48.2788596	n/a	4	2.0	3	n/a	n/a	n/a
48.2788596	9	4	2.0	4	n/a	n/a	9
57.2947553	2.5	4	2.0	5	n/a	n/a	2.5
58.1110614999	n/a	4_4_0	2.0	8	9.832201899960637	1.0	-20
59.8362693	1	4	2.0	9	n/a	n/a	-200
59.8362693	1	4	2.0	10	n/a	n/a	Miss
