onset	duration	trial_type	trial_number	event_code	response_time	response	result
-128.2128739	n/a	n/a	n/a	1	n/a	n/a	n/a
n/a	n/a	n/a	n/a	11	n/a	n/a	BREATHING_LOAD_RUN=YES
-128.2128739	n/a	n/a	n/a	1	n/a	n/a	n/a
-112.051504	n/a	4	0.0	3	n/a	n/a	n/a
-112.051504	9	4	0.0	4	n/a	n/a	9
-103.0354139	2.5	4	0.0	5	n/a	n/a	3
-102.6675275	n/a	2_4_0	0.0	8	9.383976500015708	-1.0	-70
-101.5011886	n/a	2_4_1	0.0	8	10.550315400119873	-1.0	-140
-100.4856346	1	4	0.0	9	n/a	n/a	-200
-100.4856346	1	4	0.0	10	n/a	n/a	Miss
-99.4786185999	n/a	4	0.0	7	n/a	n/a	16.5
-95.5533918999	n/a	4	1.0	3	n/a	n/a	n/a
-95.5533918999	9	4	1.0	4	n/a	n/a	9
-86.5374632003	2.5	4	1.0	5	n/a	n/a	3
-86.1203335999	n/a	1_4_0	1.0	8	9.433058300055565	-1.0	20
-85.8697315003	n/a	1_4_1	1.0	8	9.683660399634393	-1.0	40
-85.420585	n/a	1_4_2	1.0	8	10.132806899957359	-1.0	-30
-85.1198164001	n/a	1_4_3	1.0	8	10.433575499802828	1.0	-50
-84.0210956	 n/a	4	1.0	6	n/a	n/a	n/a
-84.0183580001	0.75	4	1.0	13	0.75	n/a	20
-83.2650623	0.75	4	1.0	13	0.75	n/a	20
-82.5114202001	0.75	4	1.0	13	0.75	n/a	-70
-81.7594953999	0.75	4	1.0	13	0.75	n/a	-20
-80.9830240002	1	4	1.0	9	n/a	n/a	-50
-80.9830240002	1	4	1.0	10	n/a	n/a	ONLL Error
-79.9748272998	n/a	4	1.0	7	n/a	n/a	16.5
-79.0549137001	n/a	5	2.0	3	n/a	n/a	n/a
-79.0549137001	9	5	2.0	4	n/a	n/a	9
-70.0402863002	2.5	5	2.0	5	n/a	n/a	3
-69.6221954999	n/a	6_5_0	2.0	8	9.432718200143428	1.0	-20
-69.3732703002	n/a	6_5_1	2.0	8	9.681643399875613	1.0	120
-69.1557815	n/a	6_5_2	2.0	8	9.899132200051099	1.0	100
-68.9559817999	n/a	6_5_3	2.0	8	10.09893190022558	1.0	80
-68.7397230002	n/a	6_5_4	2.0	8	10.315190699882804	-1.0	100
-67.5233657002	 n/a	5	2.0	6	n/a	n/a	n/a
-67.5213266001	0.75	5	2.0	13	0.75	n/a	-20
-66.7681507003	0.75	5	2.0	13	0.75	n/a	140
-66.0144572998	0.75	5	2.0	13	0.75	n/a	-20
-65.2613124	0.75	5	2.0	13	0.75	n/a	-20
-64.5084996	0.75	5	2.0	13	0.75	n/a	20
-63.7364047999	1	5	2.0	9	n/a	n/a	100
-63.7364047999	1	5	2.0	10	n/a	n/a	ONLL Error
-62.7305610999	n/a	5	2.0	7	n/a	n/a	17.25
-61.7927434002	n/a	3	3.0	3	n/a	n/a	n/a
-61.7927434002	9	3	3.0	4	n/a	n/a	9
-52.7915171999	2.5	3	3.0	5	n/a	n/a	3
-52.1734198001	n/a	3_3_0	3.0	8	9.61932360008359	1.0	-20
-51.7914629001	n/a	3_3_1	3.0	8	10.001280500087887	1.0	-40
-51.3745320002	n/a	3_3_2	3.0	8	10.418211400043221	-1.0	-110
-50.2754883002	 n/a	3	3.0	6	n/a	n/a	n/a
-50.2736455002	0.75	3	3.0	13	0.75	n/a	-20
-49.5195285003	0.75	3	3.0	13	0.75	n/a	-20
-48.7662372002	0.75	3	3.0	13	0.75	n/a	-70
-47.9971694001	1	3	3.0	9	n/a	n/a	-110
-47.9971694001	1	3	3.0	10	n/a	n/a	OLL Error
-46.9911370999	n/a	3	3.0	7	n/a	n/a	15.75
-46.0422324999	n/a	5	4.0	3	n/a	n/a	n/a
-46.0422324999	9	5	4.0	4	n/a	n/a	9
-37.0268755001	2.5	5	4.0	5	n/a	n/a	3
-36.5930177001	n/a	5_5_0	4.0	8	9.449214799795302	1.0	-20
-36.3101253998	n/a	5_5_1	4.0	8	9.732107100076972	1.0	-40
-35.8439664999	n/a	5_5_2	4.0	8	10.198266000021247	1.0	100
-35.2767162998	n/a	5_5_3	4.0	8	10.765516200102867	1.0	80
-35.0438713999	n/a	5_5_4	4.0	8	10.998361099977048	1.0	60
-34.5111046	 n/a	5	4.0	6	n/a	n/a	n/a
-34.5099903001	0.75	5	4.0	13	0.75	n/a	-20
-33.7586043002	0.75	5	4.0	13	0.75	n/a	-20
-33.0062565999	0.75	5	4.0	13	0.75	n/a	140
-32.2533066999	0.75	5	4.0	13	0.75	n/a	-20
-31.500184	0.75	5	4.0	13	0.75	n/a	-20
-30.7285656002	1	5	4.0	9	n/a	n/a	60
-30.7285656002	1	5	4.0	10	n/a	n/a	ONLL Correct
-29.7214071001	n/a	5	4.0	7	n/a	n/a	17.25
-28.7947994	n/a	3	5.0	3	n/a	n/a	n/a
-28.7947994	9	3	5.0	4	n/a	n/a	9
-19.7796148001	2.5	3	5.0	5	n/a	n/a	3
-19.1452317	n/a	4_3_0	5.0	8	9.649567699991168	1.0	-20
-18.8454469	n/a	4_3_1	5.0	8	9.949352500028908	1.0	-40
-18.6619231002	n/a	4_3_2	5.0	8	10.132876299787313	-1.0	-20
-17.2622492001	 n/a	3	5.0	6	n/a	n/a	n/a
-17.261097	0.75	3	5.0	13	0.75	n/a	-20
-16.5069925003	0.75	3	5.0	13	0.75	n/a	-20
