onset	duration	trial_type	trial_number	event_code	response_time	response	result
1.85555560002	n/a	n/a	n/a	1	n/a	n/a	n/a
n/a	n/a	n/a	n/a	11	n/a	n/a	BREATHING_LOAD_RUN=NO
1.85555560002	n/a	n/a	n/a	1	n/a	n/a	n/a
8.0	0	n/a	n/a	2	n/a	n/a	n/a
16.0152357998	n/a	3	0.0	3	n/a	n/a	n/a
16.0152357998	9	3	0.0	4	n/a	n/a	9
25.0321696	2.5	3	0.0	5	n/a	n/a	2.5
25.4480727999	n/a	4_3_0	0.0	8	9.432837000116708	1.0	-20
25.7813106002	n/a	4_3_1	0.0	8	9.766074800398199	-1.0	-90
26.0487251002	n/a	4_3_2	0.0	8	10.033489300403744	1.0	50
27.5478057	 n/a	3	0.0	6	n/a	n/a	n/a
27.5514929001	0.75	3	0.0	13	0.75	n/a	-20
28.3068431001	0.75	3	0.0	13	0.75	n/a	-70
29.0617515002	0.75	3	0.0	13	0.75	n/a	140
29.8341754	1	3	0.0	9	n/a	n/a	50
29.8341754	1	3	0.0	10	n/a	n/a	OLL Correct
30.8411078001	n/a	3	0.0	7	n/a	n/a	15.75
31.7646495001	n/a	4	1.0	3	n/a	n/a	n/a
31.7646495001	9	4	1.0	4	n/a	n/a	9
40.7792209	2.5	4	1.0	5	n/a	n/a	2.5
41.2793697002	n/a	2_4_0	1.0	8	9.514720200095326	1.0	-20
41.7304691002	n/a	2_4_1	1.0	8	9.96581960003823	1.0	-40
42.2309059002	n/a	2_4_2	1.0	8	10.466256400104614	-1.0	-20
42.6127542001	n/a	2_4_3	1.0	8	10.848104699980466	1.0	-40
43.2955757999	 n/a	4	1.0	6	n/a	n/a	n/a
43.298616	0.75	4	1.0	13	0.75	n/a	-20
44.0531143001	0.75	4	1.0	13	0.75	n/a	-20
44.8080136999	0.75	4	1.0	13	0.75	n/a	20
45.5608418002	0.75	4	1.0	13	0.75	n/a	-20
46.3312492999	1	4	1.0	9	n/a	n/a	-40
46.3312492999	1	4	1.0	10	n/a	n/a	OLL Error
47.3369995002	n/a	4	1.0	7	n/a	n/a	16.5
48.2769781998	n/a	4	2.0	3	n/a	n/a	n/a
48.2769781998	9	4	2.0	4	n/a	n/a	9
57.2772261999	2.5	4	2.0	5	n/a	n/a	2.5
57.4275114001	n/a	4_4_0	2.0	8	9.150533200241624	1.0	-20
57.6615281999	n/a	4_4_1	2.0	8	9.384550000075249	1.0	-40
57.8610800998	n/a	4_4_2	2.0	8	9.584101899992676	1.0	-60
58.5774955	n/a	4_4_3	2.0	8	10.300517300143838	1.0	80
59.7937416001	 n/a	4	2.0	6	n/a	n/a	n/a
